,name,price,NFC,Color,Диагональ,RAM,Память,Емкость акк,rating,reviews,OS,Тип экрана_IPS,Тип экрана_OLED,Тип экрана_Other
0,181,78990,0,21,5.5,2.0,64.0,2600.0,0.0,0,0,True,False,False
1,181,79000,0,16,5.5,2.0,64.0,2600.0,0.0,0,0,True,False,False
2,182,47990,0,21,5.0,2.0,16.0,2000.0,0.0,0,0,True,False,False
3,182,53550,0,16,5.0,2.0,16.0,2000.0,0.0,0,0,True,False,False
4,173,129990,1,12,6.5,8.0,256.0,10000.0,4.9,10,0,True,False,False
5,179,105793,1,21,4.3,8.0,256.0,3880.0,4.9,1,0,True,False,False
6,165,109990,1,21,6.5,12.0,256.0,4380.0,4.8,1,0,True,False,False
7,159,119990,1,21,6.67,12.0,256.0,5050.0,4.8,2,0,False,False,False
8,159,119970,1,20,6.67,12.0,256.0,5050.0,4.8,1,0,False,False,False
9,160,34990,0,21,6.5,2.0,32.0,5180.0,4.3,10,0,True,False,False
10,169,69152,1,7,6.1,4.0,64.0,6580.0,4.8,10,0,True,False,False
11,174,148989,1,21,6.6,8.0,256.0,5000.0,4.9,1,0,False,False,False
12,173,151848,1,7,6.5,8.0,256.0,10000.0,4.8,10,0,True,False,False
13,180,69990,1,8,6.78,8.0,128.0,5000.0,5.0,10,0,True,False,False
14,159,119989,1,5,6.67,12.0,256.0,5050.0,4.9,1,0,False,False,False
15,170,99931,1,21,6.56,6.0,128.0,13000.0,4.9,1,0,True,False,False
16,180,69990,1,5,6.78,8.0,128.0,5000.0,4.9,1,0,True,False,False
17,175,179990,1,21,6.7,12.0,256.0,15080.0,4.2,10,0,True,False,False
18,175,159990,1,21,6.7,8.0,256.0,15080.0,5.0,10,0,True,False,False
19,166,224899,1,21,6.58,8.0,128.0,8380.0,4.7,1,0,True,False,False
20,167,279900,1,21,6.78,12.0,512.0,8800.0,5.0,10,0,True,False,False
21,166,208990,1,7,6.58,8.0,128.0,8380.0,5.0,10,0,True,False,False
22,161,58000,0,21,6.5,4.0,128.0,5180.0,5.0,10,0,True,False,False
23,165,105500,1,21,6.5,8.0,256.0,4380.0,4.5,10,0,True,False,False
24,172,149990,1,21,6.0,8.0,128.0,8380.0,4.7,1,0,True,False,False
25,158,64990,1,15,6.67,6.0,128.0,4680.0,4.5,10,0,True,False,False
26,165,123134,1,20,6.5,12.0,256.0,4380.0,4.2,1,0,True,False,False
27,168,299990,1,21,6.78,12.0,512.0,8800.0,4.5,10,0,True,False,False
28,171,72990,1,21,5.7,4.0,64.0,8580.0,4.4,1,0,True,False,False
29,175,219990,1,7,6.7,12.0,256.0,15080.0,0.0,0,0,True,False,False
30,164,74990,1,16,6.5,8.0,128.0,4480.0,4.7,10,0,True,False,False
31,165,110692,1,20,6.5,8.0,256.0,4380.0,4.8,10,0,True,False,False
32,177,62100,0,16,6.75,8.0,128.0,6000.0,0.0,0,0,True,False,False
33,178,62100,0,15,6.75,8.0,128.0,6000.0,0.0,0,0,True,False,False
34,160,49990,0,16,6.5,2.0,32.0,5180.0,4.8,1,0,True,False,False
35,176,109990,1,15,5.84,6.0,128.0,4380.0,4.7,10,0,True,False,False
36,161,58000,0,5,6.5,4.0,128.0,5180.0,0.0,0,0,True,False,False
37,158,64990,1,5,6.67,6.0,128.0,4680.0,5.0,10,0,True,False,False
38,168,349000,1,8,6.78,12.0,512.0,8800.0,0.0,0,0,True,False,False
39,162,46990,0,16,6.53,4.0,64.0,4780.0,5.0,10,0,True,False,False
40,178,62100,0,20,6.75,8.0,128.0,6000.0,0.0,0,0,True,False,False
41,163,51900,1,21,6.49,4.0,64.0,4680.0,3.3,10,0,True,False,False
42,25,277772,1,21,6.1,4.0,128.0,3095.0,4.9,266,1,False,True,False
43,75,359946,1,21,6.1,6.0,128.0,3279.0,4.9,161,1,False,True,False
44,130,701596,1,8,6.9,8.0,256.0,4685.0,4.9,15,1,False,True,False
45,122,642372,1,8,6.3,8.0,256.0,3582.0,5.0,20,1,False,True,False
46,130,710073,1,14,6.9,8.0,256.0,4685.0,5.0,12,1,False,True,False
47,101,667687,1,15,6.7,8.0,256.0,4422.0,4.9,212,1,False,True,False
48,130,718813,1,21,6.9,8.0,256.0,4685.0,5.0,10,1,False,True,False
49,122,645822,1,21,6.3,8.0,256.0,3582.0,4.9,11,1,False,True,False
50,107,444745,1,21,6.1,8.0,128.0,3561.0,4.9,11,1,False,True,False
51,25,280982,1,2,6.1,4.0,128.0,3095.0,4.9,170,1,False,True,False
52,122,661642,1,14,6.3,8.0,256.0,3582.0,5.0,9,1,False,True,False
53,75,359302,1,5,6.1,6.0,128.0,3279.0,4.9,65,1,False,True,False
54,25,278149,1,7,6.1,4.0,128.0,3095.0,4.9,100,1,False,True,False
55,10,229804,1,21,6.1,4.0,128.0,3110.0,4.9,342,1,True,False,False
56,86,558530,1,15,6.1,8.0,128.0,3279.0,4.9,85,1,False,True,False
57,92,619330,1,15,6.1,8.0,256.0,3279.0,4.9,120,1,False,True,False
58,133,833599,1,8,6.9,8.0,512.0,4685.0,5.0,5,1,False,True,False
59,101,657922,1,21,6.7,8.0,256.0,4422.0,4.9,122,1,False,True,False
60,25,288150,1,13,6.1,4.0,128.0,3095.0,4.9,125,1,False,True,False
61,118,609367,1,8,6.3,8.0,128.0,3582.0,4.9,4,1,False,True,False
62,130,712795,1,2,6.9,8.0,256.0,4685.0,4.9,5,1,False,True,False
63,75,360020,1,13,6.1,6.0,128.0,3279.0,4.9,50,1,False,True,False
64,25,277027,1,16,6.1,4.0,128.0,3095.0,4.9,161,1,False,True,False
65,118,609887,1,21,6.3,8.0,128.0,3582.0,5.0,3,1,False,True,False
66,101,656125,1,16,6.7,8.0,256.0,4422.0,4.9,112,1,False,True,False
67,53,483011,1,20,6.1,6.0,128.0,3200.0,4.9,57,1,False,True,False
68,107,439085,1,2,6.1,8.0,128.0,3561.0,5.0,5,1,False,True,False
69,118,609819,1,14,6.3,8.0,128.0,3582.0,5.0,4,1,False,True,False
70,40,323282,1,21,6.1,6.0,128.0,3279.0,4.9,147,1,False,True,False
71,122,645978,1,2,6.3,8.0,256.0,3582.0,5.0,5,1,False,True,False
72,133,816248,1,14,6.9,8.0,512.0,4685.0,5.0,3,1,False,True,False
73,10,241498,1,2,6.1,4.0,128.0,3110.0,4.9,171,1,True,False,False
74,127,907186,1,8,6.9,8.0,1024.0,4685.0,4.9,2,1,False,True,False
75,109,505438,1,21,6.1,8.0,256.0,3561.0,4.9,3,1,False,True,False
76,107,439541,1,7,6.1,8.0,128.0,3561.0,4.9,3,1,False,True,False
77,86,540607,1,16,6.1,8.0,128.0,3279.0,4.9,44,1,False,True,False
78,78,529000,1,21,6.1,6.0,256.0,3279.0,4.9,33,1,False,True,False
79,101,668548,1,2,6.7,8.0,256.0,4422.0,4.9,57,1,False,True,False
80,127,911822,1,21,6.9,8.0,1024.0,4685.0,5.0,1,1,False,True,False
81,133,834321,1,21,6.9,8.0,512.0,4685.0,4.8,3,1,False,True,False
82,107,435767,1,20,6.1,8.0,128.0,3561.0,5.0,4,1,False,True,False
83,107,454885,1,13,6.1,8.0,128.0,3561.0,4.9,5,1,False,True,False
84,86,536440,1,21,6.1,8.0,128.0,3279.0,4.9,52,1,False,True,False
85,127,900020,1,14,6.9,8.0,1024.0,4685.0,4.9,1,1,False,True,False
86,12,189949,1,21,6.1,4.0,64.0,3110.0,4.9,140,1,True,False,False
87,118,608675,1,2,6.3,8.0,128.0,3582.0,5.0,2,1,False,True,False
88,40,321175,1,0,6.1,6.0,128.0,3279.0,4.9,81,1,False,True,False
89,124,761980,1,8,6.3,8.0,512.0,3582.0,5.0,3,1,False,True,False
90,92,649701,1,21,6.1,8.0,256.0,3279.0,4.9,57,1,False,True,False
91,124,778898,1,21,6.3,8.0,512.0,3582.0,5.0,1,1,False,True,False
92,75,359395,1,7,6.1,6.0,128.0,3279.0,4.9,23,1,False,True,False
93,133,828259,1,2,6.9,8.0,512.0,4685.0,4.9,1,1,False,True,False
94,92,649248,1,16,6.1,8.0,256.0,3279.0,4.9,61,1,False,True,False
95,27,346294,1,2,6.1,4.0,256.0,3095.0,4.9,25,1,False,True,False
96,40,322237,1,5,6.1,6.0,128.0,3279.0,4.9,93,1,False,True,False
97,13,262399,1,21,6.1,4.0,128.0,2775.0,4.8,115,1,False,True,False
98,127,892413,1,2,6.9,8.0,1024.0,4685.0,4.9,1,1,False,True,False
99,109,506877,1,2,6.1,8.0,256.0,3561.0,4.9,2,1,False,True,False
100,104,725840,1,15,6.7,8.0,512.0,4422.0,4.9,31,1,False,True,False
101,12,197125,1,2,6.1,4.0,64.0,3110.0,4.9,68,1,True,False,False
102,124,752722,1,14,6.3,8.0,512.0,3582.0,5.0,1,1,False,True,False
103,27,359977,1,21,6.1,4.0,256.0,3095.0,4.9,42,1,False,True,False
104,78,535000,1,5,6.1,6.0,256.0,3279.0,4.9,20,1,False,True,False
105,109,511982,1,20,6.1,8.0,256.0,3561.0,5.0,2,1,False,True,False
106,92,643089,1,2,6.1,8.0,256.0,3279.0,4.9,40,1,False,True,False
107,59,659136,1,20,6.1,6.0,512.0,3200.0,4.9,18,1,False,True,False
108,86,548408,1,2,6.1,8.0,128.0,3279.0,4.9,26,1,False,True,False
109,104,734697,1,21,6.7,8.0,512.0,4422.0,5.0,24,1,False,True,False
110,98,830189,1,21,6.7,8.0,1024.0,4422.0,4.9,11,1,False,True,False
111,124,747953,1,2,6.3,8.0,512.0,3582.0,4.9,1,1,False,True,False
112,40,328789,1,17,6.1,6.0,128.0,3279.0,4.9,75,1,False,True,False
113,123,696063,1,21,6.3,8.0,256.0,3582.0,5.0,10,1,False,True,False
114,53,499500,1,21,6.1,6.0,128.0,3200.0,4.9,25,1,False,True,False
115,53,507043,1,8,6.1,6.0,128.0,3200.0,4.9,24,1,False,True,False
116,109,539756,1,13,6.1,8.0,256.0,3561.0,5.0,1,1,False,True,False
117,78,535000,1,13,6.1,6.0,256.0,3279.0,4.9,14,1,False,True,False
118,120,829992,1,8,6.3,8.0,1024.0,3582.0,4.9,1,1,False,True,False
119,74,384999,1,21,6.1,6.0,128.0,3279.0,4.9,29,1,False,True,False
120,9,600000,1,21,6.1,4.0,128.0,3110.0,4.8,168,1,True,False,False
121,109,508783,1,7,6.1,8.0,256.0,3561.0,4.8,1,1,False,True,False
122,103,693766,1,16,6.7,8.0,256.0,4422.0,4.9,3,1,False,True,False
123,120,829717,1,21,6.3,8.0,1024.0,3582.0,4.6,1,1,False,True,False
124,27,362406,1,16,6.1,4.0,256.0,3095.0,4.9,32,1,False,True,False
125,47,375501,1,21,6.7,6.0,128.0,4325.0,4.9,17,1,False,True,False
126,103,687827,1,21,6.7,8.0,256.0,4422.0,4.9,3,1,False,True,False
127,103,670000,1,15,6.7,8.0,256.0,4422.0,4.8,8,1,False,True,False
128,104,721749,1,16,6.7,8.0,512.0,4422.0,4.9,21,1,False,True,False
129,13,269303,1,2,6.1,4.0,128.0,2775.0,4.9,55,1,False,True,False
